
step 0: train loss 7.2224, val loss 7.2210
step 1250: train loss 1.4155, val loss 1.6029
saving checkpoint to perliment_out2
iter 1250: loss 1.4362, time 5937.92ms, mfu 6.97%
iter 1260: loss 1.3343, time 52.78ms, mfu 7.01%
iter 1270: loss 1.4688, time 48.19ms, mfu 7.11%
iter 1280: loss 1.4259, time 46.64ms, mfu 7.23%
iter 1290: loss 1.4036, time 41.70ms, mfu 7.43%
iter 1300: loss 1.4661, time 50.71ms, mfu 7.45%
iter 1310: loss 1.5741, time 50.48ms, mfu 7.47%
iter 1320: loss 1.3563, time 48.58ms, mfu 7.52%
iter 1330: loss 1.4928, time 47.95ms, mfu 7.57%
iter 1340: loss 1.4611, time 51.02ms, mfu 7.57%
iter 1350: loss 1.2957, time 52.26ms, mfu 7.55%
iter 1360: loss 1.3333, time 54.05ms, mfu 7.51%
iter 1370: loss 1.4509, time 49.52ms, mfu 7.54%
iter 1380: loss 1.3075, time 53.34ms, mfu 7.51%
iter 1390: loss 1.3919, time 45.51ms, mfu 7.61%
iter 1400: loss 1.3549, time 46.65ms, mfu 7.68%
iter 1410: loss 1.4077, time 50.89ms, mfu 7.67%
iter 1420: loss 1.5073, time 49.78ms, mfu 7.68%
iter 1430: loss 1.3700, time 53.97ms, mfu 7.62%
iter 1440: loss 1.4110, time 48.48ms, mfu 7.66%
iter 1450: loss 1.4940, time 47.91ms, mfu 7.70%
iter 1460: loss 1.4010, time 49.19ms, mfu 7.71%
iter 1470: loss 1.5082, time 52.00ms, mfu 7.69%
iter 1480: loss 1.4057, time 46.78ms, mfu 7.74%
iter 1490: loss 1.4714, time 50.40ms, mfu 7.73%
step 1500: train loss 1.3752, val loss 1.5582
saving checkpoint to perliment_out2
iter 1500: loss 1.4158, time 5910.58ms, mfu 6.97%
iter 1510: loss 1.4478, time 46.14ms, mfu 7.11%
iter 1520: loss 1.3844, time 44.97ms, mfu 7.26%
iter 1530: loss 1.4256, time 48.17ms, mfu 7.33%
iter 1540: loss 1.4501, time 49.58ms, mfu 7.38%
iter 1550: loss 1.3929, time 47.54ms, mfu 7.45%
iter 1560: loss 1.4411, time 48.34ms, mfu 7.51%
iter 1570: loss 1.4223, time 51.08ms, mfu 7.51%
iter 1580: loss 1.3516, time 48.38ms, mfu 7.56%
iter 1590: loss 1.4002, time 51.77ms, mfu 7.55%
iter 1600: loss 1.4510, time 52.20ms, mfu 7.53%
iter 1610: loss 1.3919, time 52.45ms, mfu 7.52%
iter 1620: loss 1.4240, time 41.13ms, mfu 7.70%
iter 1630: loss 1.2921, time 45.81ms, mfu 7.78%
iter 1640: loss 1.4050, time 45.39ms, mfu 7.85%
iter 1650: loss 1.4095, time 50.85ms, mfu 7.82%
iter 1660: loss 1.4538, time 53.20ms, mfu 7.77%
iter 1670: loss 1.5365, time 49.02ms, mfu 7.78%
iter 1680: loss 1.3381, time 49.10ms, mfu 7.79%
iter 1690: loss 1.4279, time 47.16ms, mfu 7.83%
iter 1700: loss 1.4498, time 47.38ms, mfu 7.86%
iter 1710: loss 1.4253, time 48.20ms, mfu 7.88%
iter 1720: loss 1.4704, time 51.01ms, mfu 7.85%
iter 1730: loss 1.2761, time 46.37ms, mfu 7.89%
iter 1740: loss 1.3865, time 39.94ms, mfu 8.07%
step 1750: train loss 1.3571, val loss 1.5391
saving checkpoint to perliment_out2
iter 1750: loss 1.4437, time 5855.28ms, mfu 7.27%
iter 1760: loss 1.4674, time 51.46ms, mfu 7.29%
iter 1770: loss 1.4349, time 51.68ms, mfu 7.31%
iter 1780: loss 1.3112, time 53.18ms, mfu 7.31%
iter 1790: loss 1.4124, time 51.48ms, mfu 7.33%
iter 1800: loss 1.3720, time 51.66ms, mfu 7.34%
iter 1810: loss 1.4532, time 48.97ms, mfu 7.40%
iter 1820: loss 1.3946, time 45.89ms, mfu 7.50%
iter 1830: loss 1.4581, time 40.18ms, mfu 7.71%
iter 1840: loss 1.3705, time 49.61ms, mfu 7.72%
iter 1850: loss 1.4974, time 42.95ms, mfu 7.84%
iter 1860: loss 1.4313, time 49.64ms, mfu 7.84%
iter 1870: loss 1.3294, time 48.62ms, mfu 7.85%
iter 1880: loss 1.3857, time 55.30ms, mfu 7.76%
iter 1890: loss 1.3247, time 50.93ms, mfu 7.74%
iter 1900: loss 1.4170, time 51.74ms, mfu 7.72%
iter 1910: loss 1.3500, time 51.17ms, mfu 7.70%
iter 1920: loss 1.3693, time 46.18ms, mfu 7.77%
iter 1930: loss 1.3934, time 41.98ms, mfu 7.91%
iter 1940: loss 1.4493, time 48.19ms, mfu 7.92%
iter 1950: loss 1.4928, time 46.79ms, mfu 7.95%
iter 1960: loss 1.3280, time 48.29ms, mfu 7.96%
iter 1970: loss 1.4267, time 48.25ms, mfu 7.96%
iter 1980: loss 1.3525, time 50.27ms, mfu 7.93%
iter 1990: loss 1.4323, time 49.93ms, mfu 7.91%
Traceback (most recent call last):
  File "train.py", line 261, in <module>
    losses = estimate_loss()
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/utils/_contextlib.py", line 115, in decorate_context
    return func(*args, **kwargs)
  File "train.py", line 221, in estimate_loss
    logits, loss = model(X, Y)
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1501, in _call_impl
    return forward_call(*args, **kwargs)
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/_dynamo/eval_frame.py", line 82, in forward
    return self.dynamo_ctx(self._orig_mod.forward)(*args, **kwargs)
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/_dynamo/eval_frame.py", line 209, in _fn
    return fn(*args, **kwargs)
  File "/global/home/users/njo/nanoGPT/model.py", line 208, in forward
    x = block(x)
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1501, in _call_impl
    return forward_call(*args, **kwargs)
  File "/global/home/users/njo/nanoGPT/model.py", line 130, in forward
    def forward(self, x):
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/_dynamo/eval_frame.py", line 209, in _fn
    return fn(*args, **kwargs)
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/_functorch/aot_autograd.py", line 2836, in forward
    return compiled_fn(full_args)
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/_functorch/aot_autograd.py", line 1224, in g
    return f(*args)
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/_functorch/aot_autograd.py", line 1900, in runtime_wrapper
    all_outs = call_func_with_args(
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/_functorch/aot_autograd.py", line 1249, in call_func_with_args
    out = normalize_as_list(f(args))
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/_inductor/compile_fx.py", line 248, in run
    return model(new_inputs)
  File "/tmp/torchinductor_njo/dt/cdtfd6drduq5qgzuwac7shzh2ikmx56ai7secrwkt7zrdaeoqkj2.py", line 289, in call
    triton__0.run(buf1, arg6_1, arg0_1, buf3, 16384, 384, grid=grid(16384), stream=stream0)
  File "/global/home/users/njo/anaconda3/envs/gaia/lib/python3.8/site-packages/torch/_inductor/triton_ops/autotune.py", line 190, in run
    result = launcher(
  File "<string>", line 6, in launcher
KeyboardInterrupt
